title,url,source,category,college,location,description,department,specialization,systemGroup
"Acting Assistant Professor | Psychiatrist or Psychologist, Mental Health and the Law -",https://ap.washington.edu/ahr/position-details/?job_id=159090,WA,Faculty,University of Washington,"Seattle, WA",,Mental Health and the Law,Mental Health and the Law,Washington
"Acting Assistant Professor | Psychiatrist, Acute Services -",https://ap.washington.edu/ahr/position-details/?job_id=159873,WA,Faculty,University of Washington,"Seattle, WA",,Acute Services,Acute Services,Washington
"Acting Assistant Professor | Psychiatrist, Neuromodulation -",https://ap.washington.edu/ahr/position-details/?job_id=159097,WA,Faculty,University of Washington,"Seattle, WA",,Neuromodulation,Neuromodulation,Washington
"Acting Assistant Professor | Psychologist, Autism Feeding Program -",https://ap.washington.edu/ahr/position-details/?job_id=161454,WA,Faculty,University of Washington,"Seattle, WA",,Autism Feeding Program,Autism Feeding Program,Washington
"Acting Assistant Professor, Clinical Assistant Professor, Clinical Associate Professor, or Clinical Professor | Psychologist, Center for Behavioral Health & Learning Psychiatry and Behavioral Sciences",https://ap.washington.edu/ahr/position-details/?job_id=158064,WA,Faculty,University of Washington,"Seattle, WA",,Center for Behavioral Health & Learning Psychiatry and Behavioral Sciences,Center for Behavioral Health & Learning Psychiatry and Behavioral Sciences,Washington
"Acting Instructor, Endourology and Minimally Invasive Surgery Fellowship (2027 - 2028) - Urology Urology",https://ap.washington.edu/ahr/position-details/?job_id=169841,WA,Faculty,University of Washington,"Seattle, WA",,Endourology and Minimally Invasive Surgery Fellowship (2027 - 2028) - Urology Urology,Endourology and Minimally Invasive Surgery Fellowship (2027 - 2028) - Urology Urology,Washington
Activity Class for Credit Non-Tenure Track Faculty (Applicant Pool),https://jobs.montana.edu/postings/49959,MT,Faculty,Montana State University,"Bozeman, MT",,,,
Acute Care Imaging Faculty FY2526,https://recruit.apo.ucla.edu/JPF10498,UC,Faculty,UCLA,"Los Angeles, CA",,,,California Public
Acute Care Pediatric Nurse Practitioner Program Director & Clinical Assistant Professor,https://uta.peopleadmin.com/postings/33377,TX,Faculty,University of Texas at Arlington,"Arlington, TX",,,,Texas
Adjunct Professor Series Pool Ad - Open Ranks in the Department of Neurosurgery,https://recruit.apo.ucla.edu/JPF10494,UC,Faculty,UCLA,"Los Angeles, CA",,Open Ranks in the Department of Neurosurgery,Open Ranks in the Department of Neurosurgery,California Public
Adjunct Professor Series Pool Ad - Open Ranks in the Department of Surgery,https://recruit.apo.ucla.edu/JPF10461,UC,Faculty,UCLA,"Los Angeles, CA",,Open Ranks in the Department of Surgery,Open Ranks in the Department of Surgery,California Public
Adult and Higher Education Masters Program - Non-Tenure Track Faculty Vacancy Pool,https://hr.wwu.edu/careers-faculty?job=502865,WA,Faculty,Western Washington University,"Bellingham, WA",,Non-Tenure Track Faculty Vacancy Pool,Non-Tenure Track Faculty Vacancy Pool,Washington
Adult Basic Education Instructor II (ADLC),https://moreheadstate.peopleadmin.com/postings/41671,KY,Faculty,Morehead State University,"Morehead, KY",,,,Kentucky
Adult Psychiatry Chief - Associate Professor,https://apply.interfolio.com/147976,NY,Faculty,University of Rochester,"Rochester, NY","University of Rochester Department of Psychiatry has an opportunity for an experienced&nbsp; psychiatrist interested in developing a career in Emergency/Acute Services Psychiatry to join the energetic and dedicated team at Strong Memorial Hospital, in the pursuit of clinical and academic excellence. This full-time position encompasses a clinical leadership role as well as patient care role within acute services. The leadership role as Clinical Chief of the Adult Acute Psychiatry Division includes oversight of a division that provides acute services to adults both locally and regionally. Strategic planning for acute services, process improvement, and innovative program development are integral to this position.&nbsp; This position also includes patient care within adult inpatient or Comprehensive Psychiatric Emergency Program.&nbsp; This candidate will also have an academic appointment with University of Rochester School of Medicine and Dentistry, commensurate with experience and accomplishments, and ample opportunities for faculty development within a robust tradition of mentorship along with teaching and clinical supervision of psychiatric residents and fellows, medical students and other trainees. The psychiatric services at Strong Memorial Hospital value an interdisciplinary team approach to care.&nbsp; As one of the nation's top academic medical centers, the University of Rochester Medical Center forms the centerpiece of the University's health research, teaching, patient care and community outreach missions. The University's health care delivery network is anchored by Strong Memorial Hospital - an 886-bed, University-owned teaching hospital which boasts specialty programs that consistently rank among the best in the nation. At URMC, our robust teaching and research programs transform the patient experience with fresh ideas and approaches steeped in disciplined science. Here, care is delivered by health care professionals who innovate and care deeply about the l",,,New York Public
Adult-Gerontology Acute Care Program (Specialty) Director & Faculty Member,https://jobs.rutgers.edu/postings/268800,NJ,Faculty,"Rutgers, The State University of New Jersey","New Brunswick, NJ",,,,
Advance Endoscopy Faculty (175763),https://apply.interfolio.com/175763,NY,Faculty,University of Rochester,"Strong Memorial Hospital, NY","The Division of Gastroenterology and Hepatology in the Department of Medicine at the University of Rochester Medical Center is recruiting a new faculty member with interests in Advanced Endoscopy. Candidates with a special interest and/or expertise in General GI, IBD, motility, nutrition and women’s digestive health are also welcome to apply. The division is the region’s leading tertiary/quaternary level academic GI &amp; Hepatology practice with an excellent national reputation, including “high-performing” status granted by US News and World Report. &nbsp; The Division enjoys a large robust regional referral practice in gastroenterology subspecialities with investments in industry-leading endoscopic technology and excellent facilities, support and infrastructure. Candidates should have a strong commitment to patient care and teaching. Various clinical research opportunities are available through a well-staffed clinical trials section within the division.",,,New York Public
Advanced Endoscopy Faculty (175761),https://apply.interfolio.com/175761,NY,Faculty,University of Rochester,"Strong Memorial Hospital, NY","The Division of Gastroenterology and Hepatology in the Department of Medicine at the University of Rochester Medical Center is recruiting a new faculty member with interests in Advanced Endoscopy. Candidates with a special interest and/or expertise in General GI, IBD, motility, nutrition and women’s digestive health are also welcome to apply. The division is the region’s leading tertiary/quaternary level academic GI &amp; Hepatology practice with an excellent national reputation, including “high-performing” status granted by US News and World Report. &nbsp; The Division enjoys a large robust regional referral practice in gastroenterology subspecialities with investments in industry-leading endoscopic technology and excellent facilities, support and infrastructure. Candidates should have a strong commitment to patient care and teaching. Various clinical research opportunities are available through a well-staffed clinical trials section within the division.",,,New York Public
Advanced Manufacturing Technology Instructor (10 month),https://ctstatecommunitycollege.applytojob.com/apply/28JqmCAKar,CT State,Faculty/Teaching,CT State Tunxis,,,,,Connecticut
"Advanced Otology Fellowship, Clinical Instructor, Surgery, Otolaryngology",https://apply.interfolio.com/177183,NY,Faculty,Stony Brook University (SUNY),"Stony Brook, NY","The Division of Otolaryngology at Stony Brook University Renaissance School of Medicine is seeking a qualified candidate for a one-year Advanced Otology Fellowship. &nbsp; This non-ACGME fellowship offers comprehensive training in advanced otologic and neurotologic surgery, preparing the fellow for independent practice and a competitive academic or private practice career in otology. The fellow will be appointed at the rank of Clinical Instructor. &nbsp; The fellowship provides extensive surgical experience, including tympanoplasty, canal wall up and canal wall down mastoidectomy, stapes surgery, ossicular reconstruction, cochlear implantation, facial nerve decompression, lateral temporal bone resection, superior canal dehiscence repair, and cerebellopontine angle tumor surgery.&nbsp; Graduated autonomy is emphasized, with appropriate faculty supervision. &nbsp; The fellow will run two outpatient clinics weekly, participate in an attending-level call schedule, and manage a diverse otolaryngology patient population with a strong emphasis on otologic disease. Unlimited access to the temporal bone laboratory is provided, and the fellow will play an active role in resident education and temporal bone dissection teaching. &nbsp; Research and scholarly activity are strongly encouraged, with opportunities to publish and present at national and international meetings, including the American Otologic Society and American Neurotologic Society. &nbsp; The program follows all Stony Brook GME policies, including fatigue and wellness guidelines.",,,New York Public
"Advanced Rank, Tenure-Track Faculty Position - Department of Educational Policy and Leadership",https://employment.marquette.edu/postings/24354,WI,Faculty,Marquette University,"Milwaukee, WI",,Department of Educational Policy and Leadership,Department of Educational Policy and Leadership,
Advertising Open-Rank Professor of Practice,https://jobs.apply.vt.edu/jobs/advertising-open-rank-professor-of-practice-blacksburg-virginia-virginia-united-states,VA,Faculty,Virginia Tech,"Blacksburg, VA",,Practice,Practice,
Advertising/Public Relations OR Broadcast and Digital Journalism Assistant Professor,https://csucareers.calstate.edu/en-us/job/553400/advertisingpublic-relations-or-broadcast-and-digital-journalism-assistant-professor,CSU,Instructional Faculty – Tenured/Tenure-Track,"California State University, Fresno","Fresno, CA",,,,California Public
Aerospace Engineering (Assistant Professor) posted 12/05/25,https://www.southalabama.edu/departments/academicaffairs/resources/academicaffairspostings/ae-new-asstprof-081526.pdf,AL,Faculty,University of South Alabama,"Mobile, AL",,,,Alabama
African Diaspora Studies Two-Year Mellon Postdoctoral Fellowship (Start Fall 2026),https://apply.interfolio.com/175355,IA,Faculty,Grinnell College,"Grinnell, IA","The Department African Diaspora Studies invites applications for a two-year Andrew W. Mellon Postdoctoral Fellowship beginning Fall 2026. Eligible candidates must have received their terminal degree no earlier in 2023 or later. We seek interdisciplinary/transdisciplinary scholars whose work centers the experiences, histories, ideas, and creativity of people of African descent across the globe. Candidates must hold a terminal degree with significant coursework in Critical Black Studies/Africana Studies. Applicants should demonstrate significant promise in teaching, research, and contributions to community, as well as a strong commitment to theorizing from and/or centering Africana, Black, and African-descended perspectives. The annual teaching load for the Fellow is two courses per year (one per semester). The Fellow also will be expected to share their research with the Grinnell community and to be a contributing member of the African Diaspora Studies Department faculty. &nbsp; Additional information about our curriculum and faculty can be found at the Department’s website. https://www.grinnell.edu/academics/majors-concentrations/african-diaspora-studies",,,Iowa
